created_at,course_type,company_name,job_link,role_name,job_location,experience,Platform,skills,description,Job_Activity,role_relevancysalary,phone_number,Email_id
2023-09-19,web development,Accenture in India,https://www.linkedin.com/jobs/view/3689136011/?eBP=CwEAAAGKrZI8KcBe3xhYpad8_wizDosNDWD6TFE54ZF81hvLP_V4YK93rHIBGo0-zu6KuAhat32P5bggwDoRsIGIl1y-F7XuqrT-eP7w2Zu-4djm3R3-mQz3iQsal73ongMFXYH1_NppgYdWWUOIltRxEqmsAvp5rsbDyC82mXSE1Ytp5u31MWmepmmAfGh_t9ejwVK0roS29Mfvuln__5oImF8AU27KKBmPUP411hWskoDwa3OM5EpIgVJOWnaCfFO71Vm88g9vPFYIcbdTmzYKfICwZWjG3LxDgS-KSrcmXOaxP-BOXgTgqrFz5bATLFFzxoJPuqoe1Tct3e4dq1qftTwhPsS0F3Lx__jNlvbjsnh4ahC5ybH9iBNW3x8QhktZXQeivK1biEDp0eTC&refId=%2BzDcC5H64JqLFea48d%2FzWQ%3D%3D&trackingId=dG6Bcl4ukFBNFy3HEZWwSQ%3D%3D&trk=flagship3_search_srp_jobs,Multiplatform Front End Development React Application Developer," Bengaluru, Karnataka, India", Mid-Senior level,Linkedin,"Wireframing, eSign","About the job
About Accenture: Accenture is a global professional services company with leading capabilities in digital, cloud and security. Combining unmatched experience and specialized skills across more than 40 industries, we offer Strategy and Consulting, Technology and Operations services and Accenture Song-all powered by the world's largest network of Advanced Technology and Intelligent Operations centers. Our 699,000 people deliver on the promise of technology and human ingenuity every day, serving clients in more than 120 countries. We embrace the power of change to create value and shared success for our clients, people, shareholders, partners and communities. Visit us at accenture.com

15 years of full time education",Reposted  22 hours ago ,NO,,,
2023-09-19,web development,YASH Technologies,https://www.linkedin.com/jobs/view/3720789167/?eBP=CwEAAAGKrZI8KYBLkL9xnaMYD0HMPYYw8qcmyoF9taBu4rlWzqjmo7VaodcIRRj0cCi8RjjIF3mPXvycsc-C8tXsBgP7WH12sXKb6CyauaLpDWVZO2-c8jdkqYvq0TYbPY0QRhDT_0vh-5DnLsKQk8G0NmA0cHpt3M0joL7affwvKZmpKk7LY9WF3BHVxvlc7Yt9ehCvQRsAOizLtv6kehYKXrh15BHIB0h-T07SfLClyjVBAaz2iZ5k5MRA-FUFQW1-pMQOk3lxBJrWVLrzut1omXa1HaFaFDx0TLpE-cyKEIp8U6pDq1cdZlwhmSSpGd527mL0tp7-FZYkBqVmI3ZqPfmqOQ7E7bZqyiBshA&refId=%2BzDcC5H64JqLFea48d%2FzWQ%3D%3D&trackingId=eDv%2FHV2vMp6I4ExIsBw0jw%3D%3D&trk=flagship3_search_srp_jobs,Sr. Software Engineer - UI Job," Bengaluru, Karnataka, India (Hybrid)", Mid-Senior level,Linkedin,"Amazon Web Services (AWS), C++, Cascading Style Sheets (CSS), Communication, HTML, Project Plans, React.js, User Interface Design, XML","About the job
YASH Technologies is a leading technology integrator specializing in helping clients reimagine operating models, enhance competitiveness, optimize costs, foster exceptional stakeholder experiences, and drive business transformation.

At YASH, we’re a cluster of the brightest stars working with cutting-edge technologies. Our purpose is anchored in a single truth – bringing real positive changes in an increasingly virtual world and it drives us beyond generational gaps and disruptions of the future.



Our Digital Service Line is currently looking for Experienced UI Developers with hands-on experience.

The shortlisted candidate should have the ability to analyse technical needs and work with the customers to understand and develop project scope of work documents and Project Plans.

The responsibilities are primarily technical, although there is a strong element of functional understanding of the business process.

You are required to have skills in the following areas:


At YASH, you are empowered to create a career that will take you to where you want to go while working in an inclusive team environment. We leverage career-oriented skilling models and optimize our collective intelligence aided with technology for continuous learning, unlearning, and relearning at a rapid pace and scale.", 1 hour ago ,NO,,,
